000	__^	11
000	___	146
0010	__.	187
0011	___.	16
0011	__	1860
010	_	6931
011	UNK	2
011	_.	632
10000	-7	526
100010	2b	35
100011	-6b	5
100011	-7b	108
10010	-6	315
100110	-5	798
100110	-5#	4
100111	-3b	2
100111	-4#	9
100111	-1	15
100111	-2	34
100111	-3	96
100111	-4	72
1010	0	710
1011	1	2296
1100	2	2285
11010	3	2121
11011	1#	11
11011	3b	582
1110	4	1662
111100	7b	108
1111010	UNK-NUM	1
1111010	5#	2
1111010	+3b	4
1111010	+4	8
1111010	+3	27
1111010	+2	68
11110110	7	133
11110111	+1	303
111110	5	2219
1111110	6	512
11111110	4#	69
11111111	6b	124
